start,type,end
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Brezilya
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Arjantin
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_COUNTRY,Şili
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Rio de Janeiro
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Iguazu
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Buenos Aires
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Cape Horn
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Magdalena Adası
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_CITY,Santiago
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_SEASON,Kış
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_START,2025-01-04
BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK,HAS_DATE_END,2025-01-22
Rio de Janeiro,HAS_RESTAURANT,Satyricon Restaurant
Rio de Janeiro,HAS_RESTAURANT,La Cabrera Restaurant
Rio de Janeiro,HAS_RESTAURANT,Fervor Restaurant
Iguazu,HAS_RESTAURANT,Satyricon Restaurant
Iguazu,HAS_RESTAURANT,La Cabrera Restaurant
Iguazu,HAS_RESTAURANT,Fervor Restaurant
İZLANDA TURU 18 – 24 MAYIS,HAS_COUNTRY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_CITY,İzlanda
İZLANDA TURU 18 – 24 MAYIS,HAS_SEASON,İlkbahar
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_START,2025-05-18
İZLANDA TURU 18 – 24 MAYIS,HAS_DATE_END,2025-05-24
İzlanda,HAS_HOTEL,Hali Country Hotel
İzlanda,HAS_HOTEL,Fosshotel Glacier Lagoon
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_COUNTRY,Güney Afrika
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Cape Town
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Stellenbosch
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Franschhoek
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_CITY,Kimberley
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_SEASON,Kış
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_START,2025-12-07
GÜNEY AFRİKA TURU 07 – 16 ARALIK,HAS_DATE_END,2025-12-16
Cape Town,HAS_HOTEL,Babel Hotel
Stellenbosch,HAS_HOTEL,Babel Hotel
VENEDİK & MİLANO TURU 08 – 12,HAS_COUNTRY,İtalya
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Venedik
VENEDİK & MİLANO TURU 08 – 12,HAS_CITY,Milano
Venedik,HAS_HOTEL,Hotel Ai Cavalieri
