id,label,name
trip_BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK_NA_0,Trip,BREZİLYA – ARJANTİN – ŞİLİ TURU 04 – 22 OCAK
country_Brezilya,Country,Brezilya
country_Arjantin,Country,Arjantin
country_Şili,Country,Şili
city_Rio de Janeiro,City,Rio de Janeiro
city_Iguazu,City,Iguazu
city_Buenos Aires,City,Buenos Aires
city_Cape Horn,City,Cape Horn
city_Magdalena Adası,City,Magdalena Adası
city_Santiago,City,Santiago
restaurant_Satyricon Restaurant,Restaurant,Satyricon Restaurant
restaurant_La Cabrera Restaurant,Restaurant,La Cabrera Restaurant
restaurant_Fervor Restaurant,Restaurant,Fervor Restaurant
activity_Vista Chinesa,Activity,Vista Chinesa
activity_Amanhã (Yarının Müzesi),Activity,Amanhã (Yarının Müzesi)
activity_Iguazú Şelaleleri,Activity,Iguazú Şelaleleri
activity_Iguazú Milli Parkı,Activity,Iguazú Milli Parkı
activity_Macuco Safarisi,Activity,Macuco Safarisi
activity_Plaza de Mayo,Activity,Plaza de Mayo
activity_Casa Rosada,Activity,Casa Rosada
activity_San Telmo,Activity,San Telmo
activity_La Boca,Activity,La Boca
activity_Buenos Aires Modern Sanat Müzesi,Activity,Buenos Aires Modern Sanat Müzesi
activity_Plaza Dorrego,Activity,Plaza Dorrego
activity_Palermo Soho,Activity,Palermo Soho
activity_Recoleta Semti,Activity,Recoleta Semti
activity_Recoleta Mezarlığı,Activity,Recoleta Mezarlığı
activity_Rojo Tango Gösterisi,Activity,Rojo Tango Gösterisi
activity_Cape Horn,Activity,Cape Horn
activity_Magdalena Adası,Activity,Magdalena Adası
activity_Plaza de Armas,Activity,Plaza de Armas
activity_Santiago Katedrali,Activity,Santiago Katedrali
activity_Belediye Binası,Activity,Belediye Binası
activity_Merkez Postane,Activity,Merkez Postane
activity_Ulusal Tarih Müzesi,Activity,Ulusal Tarih Müzesi
trip_İZLANDA TURU 18 – 24 MAYIS_NA_1,Trip,İZLANDA TURU 18 – 24 MAYIS
country_İzlanda,Country,İzlanda
city_İzlanda,City,İzlanda
hotel_Hali Country Hotel,Hotel,Hali Country Hotel
hotel_Fosshotel Glacier Lagoon,Hotel,Fosshotel Glacier Lagoon
activity_Blue Lagoon,Activity,Blue Lagoon
activity_Kerid Crater Lake,Activity,Kerid Crater Lake
activity_Skaftafell National Park,Activity,Skaftafell National Park
activity_Ice Cave,Activity,Ice Cave
activity_Svartifoss Şelalesi,Activity,Svartifoss Şelalesi
activity_Fjallsárlón Glacier Lagoon,Activity,Fjallsárlón Glacier Lagoon
activity_Jökulsárlón Glacier Lagoon,Activity,Jökulsárlón Glacier Lagoon
activity_Goðafoss Şelalesi,Activity,Goðafoss Şelalesi
trip_GÜNEY AFRİKA TURU 07 – 16 ARALIK_NA_2,Trip,GÜNEY AFRİKA TURU 07 – 16 ARALIK
country_Güney Afrika,Country,Güney Afrika
city_Cape Town,City,Cape Town
city_Stellenbosch,City,Stellenbosch
city_Franschhoek,City,Franschhoek
city_Kimberley,City,Kimberley
hotel_Babel Hotel,Hotel,Babel Hotel
activity_Cape Town & Masa Dağı Gezisi,Activity,Cape Town & Masa Dağı Gezisi
activity_Zeitz Çağdaş Sanatlar Müzesi,Activity,Zeitz Çağdaş Sanatlar Müzesi
activity_Cape Point & Ümit Burnu,Activity,Cape Point & Ümit Burnu
activity_Boulders Penguen Kolonisi,Activity,Boulders Penguen Kolonisi
activity_Stellenbosch Şarap Evleri,Activity,Stellenbosch Şarap Evleri
activity_Franschhoek Şarap Bağları,Activity,Franschhoek Şarap Bağları
activity_La Motte Şarap Tadımı,Activity,La Motte Şarap Tadımı
activity_Matjiesfontein Köyü,Activity,Matjiesfontein Köyü
activity_Kimberley Diamond Mine & Big Hole,Activity,Kimberley Diamond Mine & Big Hole
activity_Sabah Safari,Activity,Sabah Safari
activity_Akşam Safari,Activity,Akşam Safari
