id,name,label
1,Fjallsárlón Glacier Lagoon,ACTIVITY
2,Macau Şarap Müzesi,ACTIVITY
3,Antropoloji Müzesi,ACTIVITY
4,Bagan tapınakları gezisi,ACTIVITY
5,Caixa Forum gezisi,ACTIVITY
6,LONDON EYE,ACTIVITY
7,Zeitz Museum of Contemporary Art Africa,ACTIVITY
8,MONTMARTRE WALK,ACTIVITY
9,Corso Umberto,ACTIVITY
10,Ateş Böceği Mağarası,ACTIVITY
11,Lacquer ware atölyesi ziyareti,ACTIVITY
12,Ribeira Bölgesi,ACTIVITY
13,Carmen de los Mártires Bahçesi,ACTIVITY
14,Wat Pho (Yatan Buda Tapınağı) gezisi,ACTIVITY
15,Musée Asiatica - Biarritz,ACTIVITY
16,Xavi Bou Atölye ziyareti,ACTIVITY
17,Topkapı Sarayı,ACTIVITY
18,Duomo di San Giorgio,ACTIVITY
19,Tai Po Old Market - Hong Kong,ACTIVITY
20,Floransa şehir turu (Piazza Della Signoria ve diğer yapılar),ACTIVITY
21,Kyoto şehir turu,ACTIVITY
22,Jaipur Amber Kalesi ziyareti,ACTIVITY
23,Edfu Tapınağı,ACTIVITY
24,Notre-Dame Kilisesi - Beaune,ACTIVITY
25,Vigeland Heykel Parkı,ACTIVITY
26,Jaipur şehir turu,ACTIVITY
27,Giraffe Manor’da zürafalarla kahvaltı ve ikindi çayı,ACTIVITY
28,San Telmo,ACTIVITY
29,Santa Teresa Semti - Rio,ACTIVITY
30,Ali ibn Yusuf Medresesi ziyareti,ACTIVITY
31,Ota Memorial Museum of Art,ACTIVITY
32,Corso Vittorio Emanuele - Noto,ACTIVITY
33,Göreme Açık Hava Müzesi,ACTIVITY
34,Sea Eagle RIB Boat Safari,ACTIVITY
35,San Gimignano UNESCO Dünya Mirası,ACTIVITY
36,Saint-Michel Kilisesi - Dijon,ACTIVITY
37,Pienza kasabası ziyareti,ACTIVITY
38,Avignon Gezisi,ACTIVITY
39,Wat Ratchabophit,ACTIVITY
40,Zinciriye Medresesi ziyareti,ACTIVITY
41,Zeitz Çağdaş Sanatlar Müzesi,ACTIVITY
42,Aurora Borealis Macerası,ACTIVITY
43,PARK GUELL,ACTIVITY
44,Kigali Şehir Turu,ACTIVITY
45,Museu da Chácara do Céu,ACTIVITY
46,Gece Safarisi,ACTIVITY
47,Iziko Müzesi ziyareti,ACTIVITY
48,Masa Dağı (Table Mountain),ACTIVITY
49,Trinidad gezisi ve La Canchanchara Bar ziyareti,ACTIVITY
50,Saint-Martin de l’Aigue Kilisesi,ACTIVITY
51,Cu Chi Tünelleri gezisi,ACTIVITY
52,La Concha Plajı - San Sebastián,ACTIVITY
53,Chateau La Coste Art Tour,ACTIVITY
54,Inverness Kalesi,ACTIVITY
55,"Phnom Penh şehir turu: Kraliyet Sarayı, Gümüş Pagoda, Ulusal Müze",ACTIVITY
56,TeamLab Borderless ziyareti,ACTIVITY
57,Cape Town Şehir Gezisi,ACTIVITY
58,MACBA - Museu d’Art Contemporani de Barcelona ziyareti,ACTIVITY
59,Blue Lagoon,ACTIVITY
60,Saint-Paul de Mausole ziyareti,ACTIVITY
61,Chiesa di San Carlo - Noto,ACTIVITY
62,Casa Milà,ACTIVITY
63,Miyashita Park,ACTIVITY
64,Cusco turu,ACTIVITY
65,Frida Kahlo Müzesi ziyareti,ACTIVITY
66,Mirabel Sarayı ve Bahçesi,ACTIVITY
67,MAT Museum - Noto,ACTIVITY
68,Guggenheim Müzesi Gezisi,ACTIVITY
69,Monte Hisarı,ACTIVITY
70,Bağ bozumu deneyimi,ACTIVITY
71,Auckland Şehir Gezisi,ACTIVITY
72,Petra Antik Kenti gezisi,ACTIVITY
73,Bogotá şehir turu,ACTIVITY
74,SHIBUYA CROSSING,ACTIVITY
75,Ravello - Villa Cimbrone Bahçesi,ACTIVITY
76,Beffroi Meydanı - Nuits-Saint-Georges,ACTIVITY
77,Sant’Oronzo Meydanı - Lecce,ACTIVITY
78,Wat Chedi Luangis,ACTIVITY
79,Duomo - Noto,ACTIVITY
80,Senso-ji Tapınağı ve Nakamise alışveriş caddesi ziyareti,ACTIVITY
81,KIYOMIZU DERA,ACTIVITY
82,Templo Mayor,ACTIVITY
83,"Havana Eski Kenti, Malecon Bulvarı, Devrim Meydanı, Colomb Mezarlığı ve Morro Kalesi gezisi",ACTIVITY
84,Arşimed Meydanı,ACTIVITY
85,Tuna & Sava Nehirlerinin Birleşim Noktası,ACTIVITY
86,Leblon Plajı,ACTIVITY
87,Mezquita Camii - Córdoba,ACTIVITY
88,El Tajo Kanyonu,ACTIVITY
89,Elephanta Adası ve Trimurti heykeli ziyareti,ACTIVITY
90,Chichen-Itza arkeolojik alanı ziyareti,ACTIVITY
91,Torre dos Clérigos,ACTIVITY
92,Sabah ve akşam safarileri (Sabi Sand Game Reserve),ACTIVITY
93,Ha Long Körfezi’nde deniz uçağı ile ulaşım ve Violet Cruise konaklaması,ACTIVITY
94,Fundación Rodriguez-Acosta Sanat Müzesi,ACTIVITY
95,Teshima Sanat Müzesi,ACTIVITY
96,St. Andrews Katedrali,ACTIVITY
97,Château du Clos Lucé,ACTIVITY
98,San Gimignano gezisi,ACTIVITY
99,Hodri Meydan Kulesi,ACTIVITY
100,Sabah Safari,ACTIVITY
101,Arles Luma Müzesi ziyareti,ACTIVITY
102,Getaria Balıkçı Köyü,ACTIVITY
103,Deyrulzafaran Manastırı ziyareti,ACTIVITY
104,Napoli Tarihi Merkezi,ACTIVITY
105,Mukuni Village Gezisi,ACTIVITY
106,Giardini ana sergi turu,ACTIVITY
107,Macau Casinoları,ACTIVITY
108,Chiesa Anime Sante del Purgatorio,ACTIVITY
109,Atelier de Cezanne ziyareti,ACTIVITY
110,Musée des Beaux-Arts - Dijon,ACTIVITY
111,BALLOON RIDE,ACTIVITY
112,Şirince Çarşısı,ACTIVITY
113,Khufu Piramidi,ACTIVITY
114,San Casciano Val di Pesa kasabası ziyareti,ACTIVITY
115,Meiji Shrine,ACTIVITY
116,La Concha Plajı,ACTIVITY
117,Kirstenbosch Ulusal Botanik Bahçesi,ACTIVITY
118,Te Puia Maori Dansı ve Gayzerler,ACTIVITY
119,Karen Blixen Müzesi ziyareti,ACTIVITY
120,Palazzo Nicolaci - Noto,ACTIVITY
121,Hamel Sokağı ziyareti,ACTIVITY
122,Harabeler Parkı - Rio,ACTIVITY
123,Hakone Açık Hava Müzesi ziyareti,ACTIVITY
124,Osaka Kalesi ziyareti,ACTIVITY
125,Franschhoek Şarap Bağları,ACTIVITY
126,Amber Kalesi ziyareti,ACTIVITY
127,Rojo Tango Gösterisi,ACTIVITY
128,Sabi Sabi’de sabah ve akşam safari turları,ACTIVITY
129,Hanoi şehir turu,ACTIVITY
130,A-Ma Tapınağı,ACTIVITY
131,Çöl Safarisi,ACTIVITY
132,Philae Tapınağı,ACTIVITY
133,Maria Luisa Parkı,ACTIVITY
134,Ashinoko Gölü tekne turu,ACTIVITY
135,El Refaei Camii,ACTIVITY
136,Nil Nehri Sıcak Hava Balonu,ACTIVITY
137,Arashiyama Bamboo Grove ziyareti,ACTIVITY
138,Sanctuary Olonana’da doğa aktiviteleri ve safari,ACTIVITY
139,Noel Pazarları,ACTIVITY
140,Büyük Mısır Müzesi,ACTIVITY
141,"Siem Reap’te Angkor Wat, Angkor Thom, Bayon ve Ta Prohm gezileri",ACTIVITY
142,Oxford Caddesi,ACTIVITY
143,Wat Phra Kaew,ACTIVITY
144,Chateau Estoublon,ACTIVITY
145,Kashi Vishwanath Tapınağı,ACTIVITY
146,Royal Exhibition Binası - Melbourne,ACTIVITY
147,David Livingstone Müzesi,ACTIVITY
148,Central Park ziyareti,ACTIVITY
149,Serengeti Ulusal Parkı Safari,ACTIVITY
150,Matera Gezisi,ACTIVITY
151,Saint-Philibert Kilisesi - Dijon,ACTIVITY
152,Giardini Iblei,ACTIVITY
153,Ho Chi Minh City şehir turu,ACTIVITY
154,Astrup Fearnley Museum of Modern Art,ACTIVITY
155,Jaipur City Palace gezisi,ACTIVITY
156,Van Gogh Müzesi,ACTIVITY
157,Kasımiye Medresesi ziyareti,ACTIVITY
158,Cape Town V&A Waterfront gezisi,ACTIVITY
159,Lima şehir turu (Plaza Mayor ve tarihi merkez),ACTIVITY
160,Sanat Galerileri - Saint-Jean-de-Luz,ACTIVITY
161,Cordoba turu,ACTIVITY
162,Johannesburg şehir turu,ACTIVITY
163,Musée des Beaux-Arts - Beaune,ACTIVITY
164,Etna Yanardağı gezisi,ACTIVITY
165,SENSOJI TEMPLE,ACTIVITY
166,Güney Afrika Ulusal Müzesi (İziko),ACTIVITY
167,Ta Prohm Tapınağı ziyareti,ACTIVITY
168,Westlake bölgesi turu (vintage jeep ile),ACTIVITY
169,Roma Amfi Tiyatrosu - Siracusa,ACTIVITY
170,Uçhisar,ACTIVITY
171,Machu Picchu gezisi,ACTIVITY
172,Fonte Arethusa,ACTIVITY
173,Mdina şehir turu,ACTIVITY
174,Nil Nehri Felucca Tekne Gezisi,ACTIVITY
175,Kültür Sokağı ve Uçurtma Atölyesi gezisi,ACTIVITY
176,Godfather Film Kilisesi - Savoca,ACTIVITY
177,Che Guevara’nın evi ziyareti,ACTIVITY
178,STATUE OF LIBERTY,ACTIVITY
