,start,end,type
0,59. Venedik Bienali,Bienal,HAS_HIGHLIGHT
1,59. Venedik Bienali,Sanat,HAS_HIGHLIGHT
2,59. Venedik Bienali,Türk Hava Yolları TK1867,HAS_TRANSPORT
3,59. Venedik Bienali,Venedik,HAS_CITY
4,59. Venedik Bienali,Venedik,HAS_HIGHLIGHT
5,59. Venedik Bienali,İtalya,HAS_COUNTRY
6,59. Venedik Bienali,İtalya,HAS_HIGHLIGHT
7,AMALFI TURU 20 – 23 HAZİRAN,2025-06-20,HAS_DATE_START
8,AMALFI TURU 20 – 23 HAZİRAN,2025-06-23,HAS_DATE_END
9,AMALFI TURU 20 – 23 HAZİRAN,Amalfi,HAS_CITY
10,AMALFI TURU 20 – 23 HAZİRAN,Napoli,HAS_CITY
11,AMALFI TURU 20 – 23 HAZİRAN,Pompei,HAS_CITY
12,AMALFI TURU 20 – 23 HAZİRAN,Ravello,HAS_CITY
13,AMALFI TURU 20 – 23 HAZİRAN,Sorrento,HAS_CITY
14,AMALFI TURU 20 – 23 HAZİRAN,Yaz,HAS_SEASON
15,AMALFI TURU 20 – 23 HAZİRAN,İtalya,HAS_COUNTRY
16,AMALFI TURU 20 – 24 HAZİRAN,2025-06-20,HAS_DATE_START
17,AMALFI TURU 20 – 24 HAZİRAN,2025-06-24,HAS_DATE_END
18,AMALFI TURU 20 – 24 HAZİRAN,Amalfi,HAS_CITY
19,AMALFI TURU 20 – 24 HAZİRAN,Yaz,HAS_SEASON
20,AMALFI TURU 20 – 24 HAZİRAN,İtalya,HAS_COUNTRY
21,ARLES TURU 03 – 06 EKİM,2025-10-03,HAS_DATE_START
22,ARLES TURU 03 – 06 EKİM,2025-10-06,HAS_DATE_END
23,ARLES TURU 03 – 06 EKİM,Arles,HAS_CITY
24,ARLES TURU 03 – 06 EKİM,Avignon,HAS_CITY
25,ARLES TURU 03 – 06 EKİM,Fransa,HAS_COUNTRY
26,ARLES TURU 03 – 06 EKİM,L'Isle-sur-la-Sorgue,HAS_CITY
27,ARLES TURU 03 – 06 EKİM,Les Baux-de-Provence,HAS_CITY
28,ARLES TURU 03 – 06 EKİM,Sonbahar,HAS_SEASON
29,ATHENS,ACROPOLIS TOUR,HAS_ACTIVITY
30,ATHENS,ATHENS PLAZA HOTEL,HAS_HOTEL
31,ATHENS,TAVERNAS,HAS_RESTAURANT
32,ATHENS,THESSALONIKI INN,HAS_HOTEL
33,ATHENS,THESSALONIKI OLD TOWN,HAS_ACTIVITY
34,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Auckland,HAS_CITY
35,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Avustralya,HAS_COUNTRY
36,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Gold Coast,HAS_CITY
37,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Queenstown,HAS_CITY
38,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Rotorua,HAS_CITY
39,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapore,HAS_CITY
40,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Singapur,HAS_COUNTRY
41,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Sydney,HAS_CITY
42,AVUSTRALYA & YENİ ZELANDA TURU 14 ARALIK – 3 OCAK,Tekapo,HAS_CITY
